student_id,full_name,course,enrollment_date,score,attendance_pct
1,Айгерим Нурланова,Python для анализа данных,2024-01-15,87,92
2,Бекзат Серикулы,SQL для начинающих,15.01.2024,74,88
3,  Дамир Ахметов ,python для анализа данных,2024/01/16,65,70
4,Жанна Толебаева,Excel продвинутый,17.01.2024,,95
5,Ерлан Касымов,SQL ДЛЯ НАЧИНАЮЩИХ,2024-01-17,91,99
6,Айгерим Нурланова,Python для анализа данных,2024-01-15,87,92
7,Салтанат Ибраева,Excel продвинутый,18.01.2024,58,60
8,Нурбек Тлеуов,SQL для начинающих,2024-01-19,120,85
9,Динара Оспанова,Python для анализа данных,19.01.2024,79,
10,Асхат Жумабеков,Excel продвинутый,20.01.2024,82,91
11,Камила Сериккызы,SQL для начинающих,2024/01/20,-5,40
12,Тимур Абенов,Python для анализа данных,21.01.2024,68,77
13,Мадина Кенжебаева,excel продвинутый,2024-01-22,95,98
14,Ислам Оразбеков,SQL для начинающих,22.01.2024,,65
15,Гульнара Сатпаева,Python для анализа данных,2024-01-23,73,80
16,Ерлан Касымов,SQL ДЛЯ НАЧИНАЮЩИХ,2024-01-17,91,99
17,Алина Достанова,Excel продвинутый,24.01.2024,89,93
18,Бауыржан Ниязов,SQL для начинающих,2024/01/24,55,58
19,Айдана Мукатова,Python для анализа данных,25.01.2024,,
20,Санжар Болатов,Excel продвинутый,2024-01-26,77,82
21,Жансая Кабдулова,SQL для начинающих,26.01.2024,63,71
22,Диас Амангельды,python для анализа данных,2024-01-27,90,94
23,,SQL для начинающих,27.01.2024,70,75
24,Аружан Талгатова,Excel продвинутый,2024/01/28,84,89
25,Нурсултан Ержанов,SQL для начинающих,28.01.2024,67,73
26,Аида Сарсенова,Python для анализа данных,2024-01-29,,88
27,Данияр Куанышев,excel ПРОДВИНУТЫЙ,29.01.2024,102,90
28,Гаухар Абдрахманова,SQL для начинающих,2024-01-30,72,79
29,,,,,
30,Марат Сейтказы,Python для анализа данных,30.01.2024,81,86
